model,run,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,DBC,VNQ,CASH,turnover,viol_r1,viol_r2,viol_r3,viol_r4,viol_r5
claude-sonnet,run_001,28.0,13.0,5.0,8.0,3.0,10.0,6.0,10.0,2.0,5.0,10.0,6.0,True,False,False,False,False
claude-sonnet,run_002,28.0,15.0,5.0,8.0,4.0,8.0,6.0,10.0,3.0,5.0,8.0,4.0,True,True,False,False,False
claude-sonnet,run_003,28.0,15.0,5.0,8.0,5.0,8.0,6.0,10.0,3.0,5.0,7.0,4.0,True,True,False,False,False
claude-sonnet,run_004,26.0,14.0,5.0,8.0,4.0,8.0,6.0,15.0,3.0,5.0,6.0,5.0,True,True,False,False,False
claude-sonnet,run_005,28.0,15.0,5.0,8.0,4.0,9.0,6.0,11.0,3.0,5.0,6.0,2.0,True,True,False,False,False
claude-sonnet,run_006,27.0,14.0,5.0,8.0,4.0,10.0,6.0,10.0,2.0,5.0,9.0,5.0,True,True,False,False,False
claude-sonnet,run_007,28.0,13.0,5.0,8.0,4.0,10.0,6.0,10.0,3.0,5.0,8.0,4.0,True,True,False,False,False
claude-sonnet,run_008,28.0,15.0,5.0,9.0,5.0,8.0,6.0,10.0,3.0,5.0,6.0,4.0,True,True,False,False,False
claude-sonnet,run_009,27.0,13.0,6.0,8.0,4.0,10.0,6.0,10.0,3.0,5.0,8.0,5.0,True,True,False,False,False
claude-sonnet,run_010,28.0,13.0,5.0,8.0,4.0,10.0,6.0,10.0,3.0,5.0,8.0,4.0,True,True,False,False,False
claude-sonnet,run_011,26.0,14.0,5.0,8.0,4.0,10.0,6.0,15.0,3.0,4.0,5.0,4.0,True,True,False,False,False
claude-sonnet,run_012,28.0,13.0,5.0,8.0,4.0,10.0,6.0,11.0,3.0,5.0,7.0,3.0,True,True,False,False,False
claude-sonnet,run_013,28.0,15.0,5.0,8.0,4.0,9.0,6.0,10.0,3.0,5.0,7.0,3.0,True,True,False,False,False
claude-sonnet,run_014,28.0,14.0,5.0,8.0,4.0,10.0,6.0,10.0,3.0,5.0,7.0,3.0,True,True,False,False,False
claude-sonnet,run_015,28.0,13.0,5.0,8.0,4.0,10.0,6.0,10.0,3.0,5.0,8.0,4.0,True,True,False,False,False
claude-sonnet,run_016,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
claude-sonnet,run_017,28.0,15.0,5.0,8.0,4.0,8.0,6.0,10.0,3.0,5.0,8.0,4.0,True,True,False,False,False
claude-sonnet,run_018,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
claude-sonnet,run_019,28.0,15.0,5.0,8.0,4.0,10.0,6.0,10.0,3.0,5.0,6.0,2.0,True,True,False,False,False
claude-sonnet,run_020,28.0,13.0,5.0,9.0,4.0,10.0,6.0,10.0,3.0,5.0,7.0,4.0,True,True,False,False,False
claude-sonnet,run_021,27.0,14.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,6.0,2.0,True,True,False,False,False
claude-sonnet,run_022,28.0,15.0,5.0,8.0,4.0,9.0,6.0,11.0,3.0,5.0,6.0,2.0,True,True,False,False,False
claude-sonnet,run_023,28.0,14.0,5.0,8.0,4.0,9.0,6.0,12.0,3.0,5.0,6.0,2.0,True,True,False,False,False
claude-sonnet,run_024,24.0,13.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,10.0,6.0,True,False,False,False,False
claude-sonnet,run_025,28.0,13.0,5.0,8.0,4.0,8.0,6.0,15.0,3.0,5.0,5.0,4.0,True,True,False,False,False
claude-sonnet,run_026,28.0,13.0,5.0,8.0,4.0,10.0,6.0,10.0,3.0,5.0,8.0,4.0,True,True,False,False,False
claude-sonnet,run_027,28.0,15.0,6.0,8.0,5.0,10.0,6.0,10.0,3.0,5.0,4.0,2.0,True,True,False,False,False
claude-sonnet,run_028,28.0,13.0,5.0,9.0,4.0,10.0,6.0,10.0,3.0,5.0,7.0,4.0,True,True,False,False,False
claude-sonnet,run_029,28.0,15.0,5.0,8.0,4.0,10.0,6.0,9.0,3.0,5.0,7.0,3.0,True,True,False,False,False
claude-sonnet,run_030,28.0,13.0,5.0,8.0,4.0,10.0,6.0,13.0,3.0,5.0,5.0,2.0,True,True,False,False,False
claude-sonnet,run_031,28.0,13.0,6.0,8.0,4.0,9.0,6.0,12.0,3.0,5.0,6.0,3.0,True,True,False,False,False
claude-sonnet,run_032,28.0,13.0,5.0,8.0,4.0,10.0,6.0,9.0,3.0,5.0,9.0,5.0,True,True,False,False,False
claude-sonnet,run_033,28.0,15.0,4.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,5.0,1.0,True,True,False,False,False
claude-sonnet,run_034,28.0,14.0,5.0,8.0,4.0,10.0,6.0,10.0,3.0,5.0,7.0,3.0,True,True,False,False,False
