model,run,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,DBC,VNQ,CASH,turnover,viol_r1,viol_r2,viol_r3,viol_r4,viol_r5
claude-sonnet,run_001,20.0,15.0,5.0,8.0,4.0,8.0,5.0,14.0,4.0,5.0,12.0,11.0,False,False,False,False,False
claude-sonnet,run_002,28.0,15.0,5.0,8.0,4.0,8.0,5.0,14.0,4.0,5.0,4.0,3.0,True,True,False,False,False
claude-sonnet,run_003,25.0,13.0,5.0,7.0,4.0,9.0,5.0,12.0,3.0,5.0,12.0,8.0,True,False,False,False,False
claude-sonnet,run_004,28.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,4.0,0.0,True,True,False,False,False
claude-sonnet,run_005,27.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,5.0,1.0,True,True,False,False,False
claude-sonnet,run_006,28.0,15.0,5.0,8.0,4.0,9.0,6.0,13.0,3.0,5.0,4.0,1.0,True,True,False,False,False
claude-sonnet,run_007,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
claude-sonnet,run_008,28.0,15.0,5.0,8.0,4.0,8.0,6.0,14.0,3.0,5.0,4.0,2.0,True,True,False,False,False
claude-sonnet,run_009,26.0,14.0,5.0,8.0,4.0,8.0,5.0,12.0,3.0,5.0,10.0,6.0,True,False,False,False,False
claude-sonnet,run_010,28.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,4.0,0.0,True,True,False,False,False
google-antigravity-gemini-3.1-pro-high,run_001,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_002,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_003,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_004,20.0,15.0,7.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_005,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_006,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_007,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_008,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_009,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_010,20.0,15.0,10.0,8.0,4.0,7.0,6.0,12.0,3.0,5.0,10.0,11.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_001,20.0,15.0,5.0,8.0,4.0,8.0,6.0,12.0,5.0,5.0,12.0,10.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_002,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_003,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_004,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_005,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_006,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_007,20.0,15.0,5.0,8.0,4.0,8.0,6.0,14.0,3.0,5.0,12.0,10.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_008,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_009,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
google-antigravity-gemini-3.7-flash-high,run_010,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_001,20.0,15.0,7.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_002,20.0,15.0,5.0,10.0,4.0,10.0,6.0,12.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_003,20.0,15.0,5.0,8.0,4.0,10.0,6.0,14.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_004,20.0,15.0,8.0,10.0,4.0,7.0,4.0,12.0,5.0,5.0,10.0,13.0,False,False,False,False,False
synthetic-syn-large-text-high,run_005,20.0,15.0,6.0,8.0,4.0,8.0,6.0,12.0,3.0,5.0,13.0,10.0,False,False,False,False,False
synthetic-syn-large-text-high,run_006,20.0,15.0,7.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_007,20.0,15.0,7.0,8.0,4.0,8.0,6.0,12.0,3.0,5.0,10.0,9.0,False,False,True,False,False
synthetic-syn-large-text-high,run_008,20.0,15.0,6.0,8.0,4.0,8.0,6.0,12.0,3.0,5.0,13.0,10.0,False,False,False,False,False
synthetic-syn-large-text-high,run_009,20.0,15.0,5.0,10.0,4.0,10.0,6.0,12.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-text-high,run_010,19.0,16.0,7.0,8.0,4.0,8.0,5.0,12.0,4.0,7.0,10.0,12.0,False,False,False,False,False
synthetic-syn-large-vision-high,run_001,22.0,14.0,6.0,10.0,4.0,7.0,5.0,14.0,5.0,3.0,10.0,13.0,True,False,False,False,False
synthetic-syn-large-vision-high,run_002,20.0,15.0,8.0,10.0,4.0,8.0,4.0,12.0,6.0,5.0,10.0,13.0,False,False,True,False,False
synthetic-syn-large-vision-high,run_003,20.0,15.0,5.0,10.0,4.0,10.0,6.0,10.0,3.0,5.0,12.0,10.0,False,False,False,False,False
synthetic-syn-large-vision-high,run_004,20.0,17.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,10.0,8.0,False,False,False,False,False
synthetic-syn-large-vision-high,run_005,20.0,15.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,False,False,False,False,False
synthetic-syn-large-vision-high,run_006,20.0,15.0,5.0,8.0,1.0,12.0,6.0,9.0,3.0,5.0,16.0,14.0,False,False,False,False,False
synthetic-syn-large-vision-high,run_007,20.0,15.0,8.0,11.0,4.0,6.0,6.0,12.0,3.0,5.0,10.0,12.0,False,False,False,False,False
synthetic-syn-large-vision-high,run_008,20.0,15.0,5.0,11.0,4.0,4.0,6.0,15.0,3.0,5.0,12.0,14.0,False,False,False,False,False
synthetic-syn-large-vision-high,run_009,20.0,15.0,8.0,8.0,4.0,6.0,4.0,15.0,5.0,5.0,10.0,14.0,False,False,False,False,False
