model,run,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,DBC,VNQ,CASH,turnover,viol_r1,viol_r2,viol_r3,viol_r4,viol_r5
claude-opus-minimal,run_001,20.0,15.0,6.0,10.0,3.0,10.0,6.0,12.0,3.0,5.0,10.0,9.0,False,False,False,False,False
claude-opus-minimal,run_002,20.0,13.0,7.0,10.0,3.0,11.0,6.0,11.0,4.0,5.0,10.0,12.0,False,False,False,False,False
claude-opus-minimal,run_003,20.0,14.0,7.0,10.0,3.0,10.0,6.0,12.0,3.0,5.0,10.0,10.0,False,False,False,False,False
claude-opus-minimal,run_004,20.0,14.0,7.0,10.0,3.0,10.0,6.0,11.0,3.0,6.0,10.0,11.0,False,False,False,False,False
claude-opus-minimal,run_005,20.0,15.0,5.0,10.0,4.0,10.0,6.0,12.0,3.0,5.0,10.0,8.0,False,False,False,False,False
claude-opus-minimal,run_006,20.0,14.0,6.0,10.0,4.0,10.0,6.0,12.0,3.0,5.0,10.0,9.0,False,False,False,False,False
claude-opus-minimal,run_007,20.0,15.0,7.0,10.0,4.0,10.0,6.0,10.0,3.0,5.0,10.0,10.0,False,False,False,False,False
claude-opus-minimal,run_008,20.0,15.0,6.0,9.0,3.0,10.0,8.0,11.0,3.0,5.0,10.0,10.0,False,False,False,False,False
claude-opus-minimal,run_009,20.0,15.0,7.0,10.0,2.0,9.0,6.0,12.0,3.0,6.0,10.0,11.0,False,False,False,False,False
claude-opus-minimal,run_010,20.0,15.0,7.0,10.0,3.0,10.0,6.0,11.0,3.0,5.0,10.0,10.0,False,False,False,False,False
claude-sonnet-minimal,run_001,24.0,13.0,5.0,8.0,2.0,10.0,6.0,12.0,3.0,5.0,12.0,8.0,True,False,False,False,False
claude-sonnet-minimal,run_002,20.0,13.0,5.0,8.0,3.0,10.0,6.0,12.0,3.0,5.0,15.0,11.0,False,False,False,False,False
claude-sonnet-minimal,run_003,20.0,12.0,5.0,9.0,2.0,13.0,8.0,11.0,4.0,6.0,10.0,14.0,False,False,False,False,False
claude-sonnet-minimal,run_004,25.0,13.0,5.0,7.0,3.0,11.0,7.0,11.0,3.0,5.0,10.0,8.0,True,False,False,False,False
claude-sonnet-minimal,run_005,20.0,13.0,5.0,8.0,3.0,11.0,6.0,10.0,3.0,5.0,16.0,13.0,False,False,False,False,False
claude-sonnet-minimal,run_006,20.0,14.0,5.0,8.0,3.0,12.0,6.0,10.0,3.0,5.0,14.0,12.0,False,False,False,False,False
claude-sonnet-minimal,run_007,20.0,13.0,5.0,8.0,4.0,10.0,6.0,12.0,3.0,5.0,14.0,10.0,False,False,False,False,False
claude-sonnet-minimal,run_008,20.0,14.0,5.0,8.0,3.0,11.0,6.0,11.0,3.0,5.0,14.0,11.0,False,False,False,False,False
claude-sonnet-minimal,run_009,20.0,14.0,5.0,8.0,4.0,10.0,6.0,11.0,4.0,5.0,13.0,10.0,False,False,False,False,False
claude-sonnet-minimal,run_010,20.0,12.0,5.0,8.0,3.0,12.0,7.0,10.0,3.0,5.0,15.0,14.0,False,False,False,False,False
