model,run,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,DBC,VNQ,CASH,turnover,viol_r1,viol_r2,viol_r3,viol_r4,viol_r5,full_repair
claude-opus-minimal,run_001,20.0,13.0,6.0,9.0,4.0,9.0,5.0,13.0,5.0,6.0,10.0,12.0,False,False,False,False,False,True
claude-opus-minimal,run_002,20.0,12.0,5.0,9.0,4.0,10.0,6.0,14.0,5.0,5.0,10.0,11.0,False,False,False,False,False,True
claude-opus-minimal,run_003,20.0,13.0,5.0,9.0,4.0,9.0,6.0,14.0,5.0,5.0,10.0,11.0,False,False,False,False,False,True
claude-opus-minimal,run_004,20.0,13.0,5.0,10.0,4.0,8.0,6.0,14.0,5.0,5.0,10.0,12.0,False,False,False,False,False,True
claude-opus-minimal,run_005,20.0,13.0,5.0,9.0,4.0,9.0,6.0,14.0,5.0,5.0,10.0,11.0,False,False,False,False,False,True
claude-opus-minimal,run_006,20.0,13.0,5.0,10.0,4.0,9.0,6.0,13.0,5.0,5.0,10.0,11.0,False,False,False,False,False,True
claude-opus-minimal,run_007,20.0,13.0,5.0,10.0,4.0,9.0,6.0,14.0,4.0,5.0,10.0,11.0,False,False,False,False,False,True
claude-opus-minimal,run_008,20.0,13.0,5.0,10.0,4.0,8.0,6.0,14.0,5.0,5.0,10.0,12.0,False,False,False,False,False,True
claude-opus-minimal,run_009,20.0,13.0,5.0,9.0,4.0,10.0,6.0,14.0,4.0,5.0,10.0,10.0,False,False,False,False,False,True
claude-opus-minimal,run_010,20.0,13.0,5.0,10.0,4.0,8.0,6.0,14.0,5.0,5.0,10.0,12.0,False,False,False,False,False,True
claude-sonnet-minimal,run_001,24.0,13.0,5.0,8.0,4.0,8.0,6.0,14.0,4.0,4.0,10.0,9.0,True,False,False,False,False,False
claude-sonnet-minimal,run_002,20.0,13.0,5.0,8.0,4.0,8.0,6.0,14.0,5.0,5.0,12.0,12.0,False,False,False,False,False,True
claude-sonnet-minimal,run_003,20.0,14.0,5.0,8.0,4.0,8.0,6.0,13.0,4.0,5.0,13.0,11.0,False,False,False,False,False,True
claude-sonnet-minimal,run_004,20.0,14.0,4.0,8.0,5.0,9.0,5.0,15.0,5.0,5.0,10.0,12.0,False,False,False,False,False,True
claude-sonnet-minimal,run_005,20.0,14.0,5.0,8.0,4.0,9.0,6.0,13.0,4.0,5.0,12.0,10.0,False,False,False,False,False,True
claude-sonnet-minimal,run_006,20.0,13.0,4.0,7.0,4.0,10.0,6.0,14.0,4.0,5.0,13.0,12.0,False,False,False,False,False,True
claude-sonnet-minimal,run_007,20.0,14.0,5.0,8.0,4.0,11.0,6.0,13.0,4.0,5.0,10.0,9.0,False,False,False,False,False,True
claude-sonnet-minimal,run_008,20.0,13.0,4.0,8.0,4.0,8.0,6.0,15.0,5.0,5.0,12.0,13.0,False,False,False,False,False,True
claude-sonnet-minimal,run_009,24.0,13.0,5.0,7.0,4.0,10.0,6.0,13.0,4.0,4.0,10.0,8.0,True,False,False,False,False,False
claude-sonnet-minimal,run_010,20.0,14.0,5.0,8.0,4.0,9.0,6.0,14.0,4.0,4.0,12.0,11.0,False,False,False,False,False,True
