model,run,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,DBC,VNQ,CASH,turnover,viol_r1,viol_r2,viol_r3,viol_r4,viol_r5
claude-sonnet,run_001,18.0,13.0,5.0,9.0,4.0,10.0,8.0,12.0,3.0,5.0,13.0,4.0,False,False,False,False,False
claude-sonnet,run_002,17.0,13.0,5.0,8.0,4.0,12.0,8.0,13.0,4.0,5.0,11.0,4.0,False,False,False,False,False
claude-sonnet,run_003,18.0,13.0,5.0,8.0,3.0,12.0,8.0,13.0,3.0,5.0,12.0,3.0,False,False,False,False,False
claude-sonnet,run_004,18.0,15.0,5.0,8.0,4.0,10.0,8.0,12.0,3.0,5.0,12.0,2.0,False,False,False,False,False
claude-sonnet,run_005,17.0,14.0,5.0,8.0,4.0,11.0,8.0,13.0,4.0,5.0,11.0,4.0,False,False,False,False,False
claude-sonnet,run_006,18.0,13.0,5.0,8.0,4.0,11.0,8.0,13.0,3.0,5.0,12.0,3.0,False,False,False,False,False
claude-sonnet,run_007,18.0,13.0,5.0,9.0,4.0,10.0,8.0,13.0,3.0,5.0,12.0,4.0,False,False,False,False,False
claude-sonnet,run_008,18.0,13.0,5.0,8.0,4.0,12.0,8.0,13.0,3.0,5.0,11.0,3.0,False,False,False,False,False
claude-sonnet,run_009,17.0,14.0,5.0,9.0,4.0,9.0,7.0,13.0,5.0,4.0,13.0,7.0,False,False,False,False,False
claude-sonnet,run_010,18.0,14.0,5.0,8.0,4.0,10.0,8.0,8.0,3.0,5.0,17.0,5.0,False,False,False,False,False
claude-sonnet,run_011,18.0,13.0,5.0,8.0,4.0,12.0,8.0,12.0,3.0,5.0,12.0,2.0,False,False,False,False,False
claude-sonnet,run_012,18.0,14.0,5.0,8.0,4.0,9.0,8.0,13.0,3.0,5.0,13.0,4.0,False,False,False,False,False
claude-sonnet,run_013,17.0,14.0,5.0,9.0,4.0,12.0,8.0,8.0,3.0,5.0,15.0,4.0,False,False,False,False,False
claude-sonnet,run_014,18.0,13.0,5.0,10.0,4.0,9.0,8.0,13.0,3.0,5.0,12.0,5.0,False,False,False,False,False
claude-sonnet,run_015,16.0,12.0,5.0,8.0,4.0,12.0,8.0,13.0,3.0,5.0,14.0,5.0,False,False,False,False,False
claude-sonnet,run_016,18.0,15.0,5.0,8.0,4.0,10.0,8.0,8.0,3.0,5.0,16.0,4.0,False,False,False,False,False
claude-sonnet,run_017,18.0,13.0,5.0,8.0,4.0,9.0,8.0,13.0,3.0,5.0,14.0,5.0,False,False,False,False,False
claude-sonnet,run_018,18.0,13.0,5.0,9.0,4.0,10.0,8.0,13.0,3.0,5.0,12.0,4.0,False,False,False,False,False
claude-sonnet,run_019,19.0,15.0,5.0,9.0,4.0,10.0,8.0,10.0,4.0,5.0,11.0,3.0,False,False,False,False,False
claude-sonnet,run_020,18.0,12.0,5.0,8.0,4.0,12.0,8.0,13.0,3.0,5.0,12.0,3.0,False,False,False,False,False
claude-sonnet,run_021,18.0,13.0,5.0,8.0,4.0,12.0,8.0,12.0,3.0,5.0,12.0,2.0,False,False,False,False,False
claude-sonnet,run_022,18.0,14.0,5.0,9.0,5.0,12.0,8.0,9.0,3.0,5.0,12.0,2.0,False,False,False,False,False
claude-sonnet,run_023,18.0,14.0,5.0,8.0,4.0,10.0,8.0,13.0,3.0,5.0,12.0,3.0,False,False,False,False,False
claude-sonnet,run_024,18.0,13.0,5.0,8.0,4.0,10.0,8.0,12.0,4.0,5.0,13.0,4.0,False,False,False,False,False
claude-sonnet,run_025,18.0,14.0,5.0,9.0,4.0,10.0,8.0,12.0,3.0,5.0,12.0,3.0,False,False,False,False,False
claude-sonnet,run_026,18.0,13.0,5.0,8.0,4.0,10.0,8.0,13.0,4.0,5.0,12.0,4.0,False,False,False,False,False
claude-sonnet,run_027,17.0,13.0,5.0,9.0,4.0,10.0,8.0,13.0,3.0,5.0,13.0,5.0,False,False,False,False,False
claude-sonnet,run_028,17.0,12.0,5.0,8.0,4.0,12.0,8.0,14.0,3.0,4.0,13.0,5.0,False,False,False,False,False
claude-sonnet,run_029,18.0,15.0,5.0,8.0,5.0,10.0,8.0,12.0,3.0,4.0,12.0,3.0,False,False,False,False,False
claude-sonnet,run_030,18.0,13.0,5.0,8.0,4.0,13.0,8.0,8.0,3.0,5.0,15.0,4.0,False,False,False,False,False
claude-sonnet,run_031,18.0,12.0,6.0,9.0,5.0,12.0,8.0,8.0,3.0,5.0,14.0,5.0,False,False,False,False,False
claude-sonnet,run_032,18.0,15.0,5.0,8.0,4.0,10.0,8.0,12.0,3.0,5.0,12.0,2.0,False,False,False,False,False
claude-sonnet,run_033,18.0,13.0,5.0,8.0,4.0,12.0,8.0,12.0,3.0,5.0,12.0,2.0,False,False,False,False,False
claude-sonnet,run_034,18.0,13.0,5.0,8.0,4.0,10.0,8.0,9.0,3.0,5.0,17.0,5.0,False,False,False,False,False
claude-sonnet,run_035,17.0,13.0,5.0,8.0,4.0,12.0,8.0,13.0,3.0,5.0,12.0,3.0,False,False,False,False,False
claude-sonnet,run_036,18.0,13.0,5.0,8.0,4.0,10.0,8.0,13.0,3.0,5.0,13.0,4.0,False,False,False,False,False
claude-sonnet,run_037,18.0,13.0,5.0,8.0,4.0,12.0,8.0,8.0,3.0,5.0,16.0,4.0,False,False,False,False,False
claude-sonnet,run_038,18.0,15.0,5.0,9.0,5.0,10.0,8.0,10.0,3.0,5.0,12.0,2.0,False,False,False,False,False
claude-sonnet,run_039,18.0,13.0,5.0,9.0,4.0,10.0,8.0,12.0,4.0,5.0,12.0,4.0,False,False,False,False,False
claude-sonnet,run_040,18.0,15.0,5.0,8.0,4.0,9.0,8.0,13.0,3.0,5.0,12.0,3.0,False,False,False,False,False
claude-sonnet,run_041,17.0,14.0,5.0,8.0,4.0,11.0,8.0,8.0,3.0,5.0,17.0,5.0,False,False,False,False,False
claude-sonnet,run_042,18.0,13.0,5.0,8.0,4.0,12.0,8.0,12.0,3.0,5.0,12.0,2.0,False,False,False,False,False
claude-sonnet,run_043,18.0,12.0,5.0,8.0,4.0,12.0,8.0,13.0,3.0,5.0,12.0,3.0,False,False,False,False,False
claude-sonnet,run_044,18.0,14.0,5.0,9.0,4.0,10.0,8.0,12.0,4.0,4.0,12.0,4.0,False,False,False,False,False
claude-sonnet,run_045,18.0,12.0,5.0,8.0,4.0,12.0,8.0,13.0,3.0,5.0,12.0,3.0,False,False,False,False,False
claude-sonnet,run_046,17.0,14.0,5.0,8.0,4.0,10.0,8.0,12.0,4.0,5.0,13.0,4.0,False,False,False,False,False
claude-sonnet,run_047,18.0,14.0,5.0,9.0,4.0,11.0,8.0,9.0,3.0,5.0,14.0,3.0,False,False,False,False,False
claude-sonnet,run_048,18.0,13.0,5.0,8.0,4.0,12.0,8.0,8.0,3.0,5.0,16.0,4.0,False,False,False,False,False
claude-sonnet,run_049,18.0,13.0,5.0,8.0,4.0,10.0,9.0,8.0,3.0,5.0,17.0,6.0,False,False,False,False,False
claude-sonnet,run_050,17.0,14.0,5.0,8.0,4.0,11.0,8.0,13.0,4.0,5.0,11.0,4.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_001,18.0,12.0,5.0,8.0,4.0,12.0,8.0,13.0,3.0,5.0,12.0,3.0,False,False,False,False,False
google-antigravity-gemini-3.1-pro-high,run_002,18.0,10.0,5.0,8.0,4.0,12.0,8.0,15.0,3.0,5.0,12.0,5.0,False,False,False,False,False
